IAB101-Con_BS,IAB101-DL_app,IAB101-DL_CQI,IAB101-UL_app,IAB101-UL_CQI,IAB102-Con_BS,IAB102-DL_app,IAB102-DL_CQI,IAB102-UL_app,IAB102-UL_CQI,IAB103-Con_BS,IAB103-DL_app,IAB103-DL_CQI,IAB103-UL_app,IAB103-UL_CQI,IAB104-Con_BS,IAB104-DL_app,IAB104-DL_CQI,IAB104-UL_app,IAB104-UL_CQI,IAB105-Con_BS,IAB105-DL_app,IAB105-DL_CQI,IAB105-UL_app,IAB105-UL_CQI,IAB106-Con_BS,IAB106-DL_app,IAB106-DL_CQI,IAB106-UL_app,IAB106-UL_CQI,IAB107-Con_BS,IAB107-DL_app,IAB107-DL_CQI,IAB107-UL_app,IAB107-UL_CQI,IAB108-Con_BS,IAB108-DL_app,IAB108-DL_CQI,IAB108-UL_app,IAB108-UL_CQI,IAB109-Con_BS,IAB109-DL_app,IAB109-DL_CQI,IAB109-UL_app,IAB109-UL_CQI,IAB110-Con_BS,IAB110-DL_app,IAB110-DL_CQI,IAB110-UL_app,IAB110-UL_CQI
110,6.5,15,22.5,15,110,0,15,0,15,110,13,15,45,15,110,12,15,40,15,110,14,15,45,15,110,3,15,15,15,110,8.5,15,32.5,15,110,16,15,55,15,110,5,15,20,15,-1,9.5,15,37.5,15
110,13,15,50,15,110,6,15,20,15,110,13,15,45,15,110,11,15,40,15,110,7.5,14,22.5,14,110,1.5,14,7.5,14,110,8.5,14,32.5,14,110,8,15,30,15,110,2.5,15,7.5,15,-1,16.5,15,57.5,15
110,22,15,85,15,110,2,15,5,15,110,3.5,15,12.5,15,110,9,15,30,15,110,2.5,15,7.5,15,110,7,15,25,15,110,9.5,15,27.5,15,110,11.5,15,37.5,15,110,13,15,60,15,-1,7.5,15,22.5,15
110,24.5,15,92.5,15,110,7,15,20,15,110,6,15,20,15,110,12,14,40,14,110,4,15,20,15,110,2,15,5,15,110,4.5,15,17.5,15,110,5.5,15,22.5,15,110,10.5,15,37.5,15,-1,11.5,15,37.5,15
110,3,15,10,15,110,18,15,70,15,110,3,15,10,15,110,7,15,30,15,110,2.5,15,12.5,15,110,3,15,10,15,110,5.5,15,22.5,15,110,19.5,15,57.5,15,110,14.5,15,47.5,15,-1,11.5,15,42.5,15
110,2,15,10,15,110,7.5,14,27.5,14,110,3.5,15,12.5,15,110,6.5,15,22.5,15,110,2,14,5,14,110,34.5,15,112.5,15,110,4,15,20,15,110,7,15,25,15,110,13,15,55,15,-1,7.5,15,22.5,15
110,9,15,35,15,110,16.5,15,52.5,15,110,3.5,13,12.5,13,110,15.5,15,57.5,15,110,6,15,20,15,110,8.5,15,37.5,15,110,2,15,5,15,110,6.5,13,27.5,13,110,11,13,35,13,-1,9,15,30,15
110,6.5,15,22.5,15,110,2,15,10,15,110,1.5,15,7.5,15,110,5.5,13,17.5,13,110,16.5,14,57.5,14,110,10.5,13,42.5,13,110,24.5,15,87.5,15,110,4.5,13,17.5,13,110,15.5,15,47.5,15,-1,0.5,15,2.5,15
110,5,15,15,15,110,6,15,20,15,110,11.5,15,42.5,15,110,2,15,10,15,110,11,15,40,15,110,10,14,35,14,110,1,14,5,14,110,23.5,15,82.5,15,110,13,15,45,15,-1,4.5,15,17.5,15
110,13.5,15,42.5,15,110,0,14,0,14,110,8.5,15,37.5,15,110,14.5,15,52.5,15,110,5,14,20,14,110,2.5,14,7.5,14,110,23.5,14,82.5,14,110,1.5,14,7.5,14,110,1.5,15,7.5,15,-1,17,15,55,14
