IAB101-Con_BS,IAB101-DL_app,IAB101-DL_CQI,IAB101-UL_app,IAB101-UL_CQI,IAB102-Con_BS,IAB102-DL_app,IAB102-DL_CQI,IAB102-UL_app,IAB102-UL_CQI,IAB103-Con_BS,IAB103-DL_app,IAB103-DL_CQI,IAB103-UL_app,IAB103-UL_CQI,IAB104-Con_BS,IAB104-DL_app,IAB104-DL_CQI,IAB104-UL_app,IAB104-UL_CQI,IAB105-Con_BS,IAB105-DL_app,IAB105-DL_CQI,IAB105-UL_app,IAB105-UL_CQI,IAB106-Con_BS,IAB106-DL_app,IAB106-DL_CQI,IAB106-UL_app,IAB106-UL_CQI,IAB107-Con_BS,IAB107-DL_app,IAB107-DL_CQI,IAB107-UL_app,IAB107-UL_CQI,IAB108-Con_BS,IAB108-DL_app,IAB108-DL_CQI,IAB108-UL_app,IAB108-UL_CQI,IAB109-Con_BS,IAB109-DL_app,IAB109-DL_CQI,IAB109-UL_app,IAB109-UL_CQI,IAB110-Con_BS,IAB110-DL_app,IAB110-DL_CQI,IAB110-UL_app,IAB110-UL_CQI
110,8,4,25,4,110,3,4,15,4,110,10,3,35,3,110,10,4,35,4,110,14.5,5,57.5,5,110,6,4,20,4,110,14.5,14,47.5,14,110,5.5,5,22.5,5,110,12,7,40,7,-1,4,12,15,9
110,11.5,4,37.5,4,110,9,3,35,3,110,13,8,45,8,110,16,5,55,5,110,5,4,15,4,110,5.5,3,22.5,3,110,7,6,25,6,110,12.5,4,42.5,4,110,4.5,3,17.5,3,-1,3.5,12,17.5,9
110,8,7,30,7,110,4,4,15,4,110,10,5,35,5,110,15.5,4,47.5,4,110,10.5,6,32.5,6,110,5.5,10,22.5,10,110,4.5,5,17.5,5,110,13,8,55,8,110,5,8,20,8,-1,11.5,11,37.5,7
110,8.5,10,27.5,10,110,1,6,5,6,110,4,9,20,9,110,12,5,45,5,110,14.5,5,57.5,5,110,14,3,50,3,110,19,4,65,4,110,5.5,7,17.5,7,110,5,10,15,10,-1,4,14,10,10
110,8.5,5,32.5,5,110,3.5,14,17.5,14,110,12.5,4,47.5,4,110,11,11,40,11,110,13.5,3,47.5,3,110,16.5,6,52.5,6,110,0.5,15,2.5,15,110,12,11,40,11,110,5.5,4,17.5,4,-1,4,10,15,6
110,23.5,8,72.5,8,110,14.5,7,57.5,7,110,0.5,13,2.5,13,110,10,10,40,10,110,4.5,7,12.5,7,110,5,11,15,11,110,4.5,4,17.5,4,110,5.5,11,17.5,11,110,16,3,60,3,-1,3.5,13,17.5,10
110,0,9,0,9,110,5.5,4,17.5,4,110,5.5,15,17.5,15,110,8.5,8,32.5,8,110,7,5,20,5,110,11.5,4,47.5,4,110,23.5,5,72.5,5,110,14,6,55,6,110,9,5,35,5,-1,3,11,15,9
110,2,3,10,3,110,0,3,0,3,110,2,3,5,3,110,9,4,30,4,110,23.5,3,72.5,3,110,4.5,11,17.5,11,110,10,9,40,9,110,22,6,70,6,110,8,5,40,5,-1,6.5,10,27.5,6
110,5.5,5,17.5,5,110,8.5,5,32.5,5,110,2,9,10,9,110,16,6,60,6,110,14.5,4,47.5,4,110,2.5,4,12.5,4,110,4,9,10,9,110,14,9,40,9,110,12.5,7,52.5,7,-1,8,11,30,7
110,3,8,15,8,110,19,7,65,7,110,14.5,5,52.5,5,110,1,8,5,8,110,17,7,55,7,110,10,4,35,4,110,7.5,11,27.5,11,110,6,7,20,7,110,6,9,25,9,-1,3.5,13,12.5,11
110,11.5,4,52.5,4,110,6,4,25,4,110,20.5,10,67.5,10,110,7,5,25,5,110,3,9,15,9,110,10,6,30,6,110,11.5,6,37.5,6,110,0.5,8,2.5,8,110,12,3,35,3,-1,5.5,9,22.5,6
110,14.5,3,47.5,3,110,5,3,25,3,110,2.5,15,12.5,15,110,11.5,4,42.5,4,110,5.5,6,27.5,6,110,17.5,5,57.5,5,110,1,7,5,7,110,14.5,3,47.5,3,110,7.5,8,22.5,8,-1,8,10,25,7
110,3,6,10,6,110,7.5,6,27.5,6,110,11,7,30,7,110,6.5,7,27.5,7,110,14,6,55,6,110,10,5,35,5,110,3,5,10,5,110,17.5,7,62.5,7,110,6.5,5,22.5,5,-1,8.5,10,32.5,6
110,10.5,7,32.5,7,110,6.5,4,22.5,4,110,4.5,10,22.5,10,110,3.5,6,17.5,6,110,17.5,4,62.5,4,110,11.5,4,37.5,4,110,5.5,5,17.5,5,110,11,6,45,6,110,8.5,9,27.5,9,-1,8.5,11,27.5,7
110,5.5,6,17.5,6,110,4.5,3,17.5,3,110,23.5,4,72.5,4,110,5.5,4,22.5,4,110,11.5,9,52.5,9,110,5,6,15,6,110,7,5,25,5,110,10.5,10,32.5,10,110,8,6,35,6,-1,6.5,11,22.5,7
110,1.5,3,7.5,3,110,8.5,4,27.5,4,110,20,4,65,4,110,8,3,25,3,110,6.5,4,32.5,4,110,1,3,5,3,110,14.5,6,57.5,6,110,3.5,3,12.5,3,110,9.5,5,37.5,5,-1,14.5,10,42.5,7
110,1.5,3,7.5,3,110,8,9,30,9,110,8.5,6,32.5,6,110,3,4,10,4,110,6,4,20,4,110,22,15,70,15,110,1,4,5,4,110,10.5,6,42.5,6,110,22,4,70,4,-1,5,9,25,6
110,10,4,30,4,110,14.5,8,52.5,8,110,15,13,50,13,110,5,5,20,5,110,12.5,7,42.5,7,110,1.5,9,7.5,9,110,2,4,10,4,110,15.5,5,57.5,5,110,9.5,8,32.5,8,-1,2,13,10,9
110,3,6,15,6,110,7,4,30,4,110,11,9,45,9,110,10.5,4,32.5,4,110,9,7,30,7,110,14.5,11,47.5,11,110,9.5,4,32.5,4,110,13,6,45,6,110,4.5,7,12.5,7,-1,5.5,11,22.5,8
110,18,5,60,5,110,8.5,4,32.5,4,110,1,5,5,5,110,10.5,5,37.5,5,110,3,5,15,5,110,17,11,60,11,110,6,5,20,5,110,5.5,5,17.5,5,110,8.5,7,32.5,7,-1,9.5,11,32.5,8
110,20.5,4,67.5,4,110,4.5,3,17.5,3,110,7.5,3,32.5,3,110,3,3,10,3,110,18.5,10,62.5,10,110,8,3,30,3,110,0.5,3,2.5,3,110,3,13,10,13,110,17.5,4,62.5,4,-1,4.5,9,17.5,6
110,6,7,25,7,110,5.5,4,22.5,4,110,3.5,4,12.5,4,110,9.5,9,37.5,9,110,3,7,10,7,110,9,7,30,7,110,19,5,65,5,110,16,9,60,9,110,1.5,6,7.5,6,-1,14.5,8,42.5,5
110,10.5,6,32.5,6,110,10,5,35,5,110,15,12,50,12,110,7.5,4,27.5,4,110,2.5,3,12.5,3,110,12,5,45,5,110,3.5,5,12.5,5,110,7,6,25,6,110,8,4,35,4,-1,11.5,10,37.5,6
110,6.5,3,22.5,3,110,7,3,25,3,110,10.5,8,37.5,8,110,17.5,10,62.5,10,110,10.5,3,37.5,3,110,16,5,55,5,110,3.5,3,12.5,3,110,0.5,15,2.5,15,110,11.5,5,42.5,5,-1,4,12,15,8
110,5,8,20,8,110,9.5,5,37.5,5,110,7.5,9,27.5,9,110,2,10,10,10,110,14.5,4,47.5,4,110,10,4,35,4,110,1,4,5,4,110,9,6,35,6,110,21.5,6,67.5,6,-1,7.5,8,27.5,5
110,15.5,9,57.5,9,110,7.5,9,27.5,9,110,4.5,3,17.5,3,110,12,8,45,8,110,4,11,15,11,110,20.5,5,67.5,5,110,1.5,8,7.5,8,110,3,3,10,3,110,13.5,4,47.5,4,-1,5.5,13,17.5,10
110,7.5,7,37.5,7,110,22,3,70,3,110,1.5,4,7.5,4,110,3.5,7,12.5,7,110,20.5,6,67.5,6,110,13.5,13,47.5,13,110,12,3,45,3,110,2,4,5,4,110,3.5,9,12.5,9,-1,1.5,13,7.5,9
110,8.5,3,27.5,3,110,7.5,9,27.5,9,110,6,3,15,3,110,3.5,3,12.5,3,110,12,4,50,4,110,6,3,20,3,110,15,5,50,5,110,16,7,60,7,110,9.5,5,32.5,5,-1,3.5,13,17.5,11
110,3.5,6,12.5,6,110,3,5,10,5,110,14.5,5,52.5,5,110,0.5,5,2.5,5,110,5.5,4,22.5,4,110,12,3,50,3,110,17,3,55,3,110,17.5,5,62.5,5,110,7.5,5,22.5,5,-1,6.5,9,22.5,6
110,9,9,40,9,110,9.5,13,32.5,13,110,13,9,45,9,110,3,4,10,4,110,14.5,3,57.5,3,110,9.5,3,32.5,3,110,4.5,6,17.5,6,110,3.5,3,12.5,3,110,21,5,65,5,-1,0,0,0,0
110,4,8,20,8,110,19,4,65,4,110,13,6,55,6,110,22,3,70,3,110,4,9,20,9,110,17,2,55,2,110,0.5,11,2.5,11,110,8,2,25,2,110,0,15,0,15,-1,0,0,0,0
110,9.5,6,32.5,6,110,2.5,6,12.5,6,110,3.5,4,17.5,4,110,6,7,20,7,110,8.5,8,32.5,8,110,3,6,15,6,110,16,4,55,4,110,16.5,6,57.5,6,110,7.5,5,27.5,5,-1,14.5,10,42.5,7
110,1,7,5,7,110,3,7,10,7,110,9,3,40,3,110,16.5,4,57.5,4,110,22,4,65,4,110,10.5,10,37.5,10,110,1.5,8,7.5,8,110,4,6,15,6,110,16,8,60,8,-1,4,12,15,9
110,19,8,65,8,110,3,5,15,5,110,12,6,45,6,110,0,3,0,3,110,13.5,3,47.5,3,110,12.5,3,47.5,3,110,0,5,0,5,110,9.5,9,27.5,9,110,12.5,3,42.5,3,-1,5.5,10,22.5,6
